gene_id	tsig
ENSG00000158828	MitoCarta
ENSG00000144120	MitoCarta
ENSG00000198431	MitoCarta
ENSG00000185875	MitoCarta
ENSG00000137700	MitoCarta
ENSG00000160752	MitoCarta
ENSG00000067064	MitoCarta
ENSG00000177302	MitoCarta
ENSG00000181867	MitoCarta
ENSG00000171989	MitoCarta
ENSG00000204842	MitoCarta
ENSG00000066855	MitoCarta
ENSG00000153904	MitoCarta
ENSG00000099968	MitoCarta
ENSG00000174173	MitoCarta
ENSG00000097021	MitoCarta
ENSG00000029639	MitoCarta
ENSG00000004059	MitoCarta
ENSG00000005059	MitoCarta
ENSG00000107815	MitoCarta
ENSG00000168288	MitoCarta
ENSG00000166199	MitoCarta
ENSG00000143811	MitoCarta
ENSG00000096150	MitoCarta
