distance	id	tc	localization_cat	tc_region	hval_cat
27	cytosolic;utr3;hval_midlo	0	cytosolic	utr3	hval_midlo
28	cytosolic;utr3;hval_midlo	0.00767440075720755	cytosolic	utr3	hval_midlo
29	cytosolic;utr3;hval_midlo	0.0230232022716226	cytosolic	utr3	hval_midlo
30	cytosolic;utr3;hval_midlo	0.0281394694430943	cytosolic	utr3	hval_midlo
31	cytosolic;utr3;hval_midlo	0.0230232022716226	cytosolic	utr3	hval_midlo
32	cytosolic;utr3;hval_midlo	0.0127906679286792	cytosolic	utr3	hval_midlo
33	cytosolic;utr3;hval_midlo	0.0127906679286792	cytosolic	utr3	hval_midlo
34	cytosolic;utr3;hval_midlo	0	cytosolic	utr3	hval_midlo
35	cytosolic;utr3;hval_midlo	0	cytosolic	utr3	hval_midlo
36	cytosolic;utr3;hval_midlo	0	cytosolic	utr3	hval_midlo
37	cytosolic;utr3;hval_midlo	0	cytosolic	utr3	hval_midlo
38	cytosolic;utr3;hval_midlo	0	cytosolic	utr3	hval_midlo
39	cytosolic;utr3;hval_midlo	0.0332557366145659	cytosolic	utr3	hval_midlo
40	cytosolic;utr3;hval_midlo	0.0332557366145659	cytosolic	utr3	hval_midlo
-40	cytosolic;utr3;hval_midmid	0	cytosolic	utr3	hval_midmid
-39	cytosolic;utr3;hval_midmid	0	cytosolic	utr3	hval_midmid
-38	cytosolic;utr3;hval_midmid	0	cytosolic	utr3	hval_midmid
-37	cytosolic;utr3;hval_midmid	0.00767440075720755	cytosolic	utr3	hval_midmid
-36	cytosolic;utr3;hval_midmid	0	cytosolic	utr3	hval_midmid
-35	cytosolic;utr3;hval_midmid	0	cytosolic	utr3	hval_midmid
-34	cytosolic;utr3;hval_midmid	0	cytosolic	utr3	hval_midmid
-33	cytosolic;utr3;hval_midmid	0.0153488015144151	cytosolic	utr3	hval_midmid
-32	cytosolic;utr3;hval_midmid	0	cytosolic	utr3	hval_midmid
-31	cytosolic;utr3;hval_midmid	0.00767440075720755	cytosolic	utr3	hval_midmid
-30	cytosolic;utr3;hval_midmid	0.0306976030288302	cytosolic	utr3	hval_midmid
